drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,heading_diff,ekf_heading_diff,time_s,SDS
00020.png,3935,00020,1960,15,1419,0.843,1.688,"(0.996,1.000,0.998,0.999)",0.997,0.834,-138.78914244,-843.80665959,-5.116,-127.86898932,-851.33723737,-5.142,7.1130,-1.3563,18.0331,-8.8869,7.2411,863.3304,20.1040,0.0000,0.0000,0.6262,0.9700
00021.png,3697,00021,1722,15,1263,0.824,1.659,"(0.991,1.000,0.996,0.999)",0.993,0.828,-140.68591345,-885.15730182,-5.099,-133.65186796,-892.74953426,-5.119,12.6708,1.2330,19.7049,-6.3592,12.7307,905.2666,20.7056,0.0000,0.0000,0.5815,0.9672
00022.png,3503,00022,1561,15,1091,0.815,1.739,"(0.987,1.000,0.995,0.999)",0.991,0.816,-146.13125500,-932.12598290,-4.906,-139.29734551,-935.55470360,-4.942,15.1443,0.0467,21.9782,-3.3820,15.1443,946.8015,22.2369,0.0000,0.0000,0.5223,0.9498
00023.png,3194,00023,1384,15,909,0.813,1.772,"(0.990,1.000,0.995,0.999)",0.992,0.813,-157.36490503,-977.86754107,-5.029,-146.00265727,-979.11578374,-5.046,11.7411,-1.5689,23.1033,-2.8171,11.8454,989.8587,23.2744,0.0000,0.0000,0.5611,0.9693
00024.png,3217,00024,1442,15,1033,0.830,1.723,"(0.990,1.000,0.996,0.999)",0.993,0.824,-165.95434261,-1020.57882577,-4.765,-153.27142250,-1022.42612022,-4.820,11.1827,-0.1331,23.8656,-1.9804,11.1835,1033.9276,23.9476,0.0000,0.0000,0.5936,0.9708
00025.png,3341,00025,1536,15,1085,0.835,1.702,"(0.995,1.000,0.997,0.999)",0.996,0.829,-180.59297238,-1066.56597201,-5.956,-162.13054001,-1066.51205251,-5.893,4.6316,-1.8808,23.0941,-1.8268,4.9989,1077.7959,23.1662,0.0000,0.0000,0.5657,0.9728
00026.png,3330,00026,1570,15,1092,0.836,1.675,"(0.996,1.000,0.998,0.999)",0.997,0.832,-187.72536562,-1108.69549146,-5.319,-171.17802800,-1110.03441593,-5.405,5.6440,0.1925,22.1914,-1.1465,5.6473,1122.8164,22.2210,0.0000,0.0000,0.5522,0.9784
00027.png,3229,00027,1526,15,1093,0.855,1.690,"(0.997,1.000,0.999,0.999)",0.998,0.839,-214.73428771,-1151.50378803,-6.116,-184.01285022,-1153.48594264,-6.118,-13.4603,1.7049,17.2612,-0.2772,13.5678,1167.1899,17.2634,0.0000,0.0000,0.5954,0.9781
00028.png,3334,00028,1546,15,1099,0.844,1.735,"(0.983,1.000,0.991,0.999)",0.987,0.827,-193.56081833,-1203.51347595,-6.510,-189.79029752,-1199.08274125,-6.481,15.1495,-5.9005,18.9200,-1.4698,16.2580,1212.1576,18.9770,0.0000,0.0000,0.5520,0.9676
00029.png,3369,00029,1520,15,1063,0.809,1.674,"(0.981,1.000,0.992,0.999)",0.986,0.817,-197.27465098,-1246.05494134,-5.446,-195.26237292,-1243.92904441,-5.549,19.1481,-4.1691,21.1604,-2.0432,19.5968,1258.2938,21.2588,0.0000,0.0000,0.5293,0.9602
00030.png,3015,00030,1330,15,937,0.826,1.683,"(0.994,1.000,0.996,0.999)",0.995,0.827,-216.78522365,-1288.98740853,-6.320,-203.27470328,-1288.47551081,-6.280,7.6185,-2.7464,21.1290,-2.2345,8.0984,1303.4980,21.2468,0.0000,0.0000,0.4978,0.9648
00031.png,2841,00031,1338,15,949,0.835,1.622,"(0.998,1.000,0.998,0.999)",0.998,0.837,-231.59836396,-1331.16337682,-7.541,-213.34348942,-1332.40677938,-7.470,0.8604,-0.4847,19.1153,-1.7281,0.9876,1348.8480,19.1933,0.0000,0.0000,0.5165,0.9763
00032.png,2983,00032,1468,15,1114,0.824,1.589,"(1.000,1.000,1.000,0.999)",0.999,0.836,-242.00768975,-1368.76726313,-6.333,-223.97870698,-1374.52125948,-6.472,-1.4302,6.3257,16.5988,0.5717,6.4853,1393.8708,16.6086,0.0000,0.0000,0.5641,0.9715
00033.png,3058,00033,1539,15,1213,0.841,1.626,"(0.987,1.000,0.995,0.999)",0.990,0.836,-232.48700705,-1413.11676061,-4.182,-229.57820348,-1417.10233453,-4.392,16.1116,6.5897,19.0204,2.6041,17.4071,1436.9607,19.1979,0.0000,0.0000,0.5311,0.9699
00034.png,3089,00034,1596,15,1274,0.856,1.626,"(0.999,1.000,1.000,0.999)",0.999,0.846,-253.66599466,-1460.89326037,-4.093,-237.54313510,-1461.24774228,-4.151,3.0019,3.6950,19.1247,3.3405,4.7607,1479.6441,19.4143,0.0000,0.0000,0.5293,0.9707
00035.png,3106,00040,196,15,78,0.772,1.503,"(0.981,1.000,0.986,1.000)",0.985,0.879,-253.11213686,-1457.82251921,-4.936,-243.48990924,-1490.50273142,-4.903,11.6256,51.7878,21.2479,19.1076,53.0766,1524.5305,28.5757,0.0000,0.0000,0.5155,0.3679
00036.png,2896,00036,1468,14,1152,0.827,1.597,"(0.997,1.000,0.999,0.999)",0.998,0.836,-264.40264427,-1555.80972477,-5.260,-250.84149552,-1539.32283004,-5.248,8.3740,-1.0516,21.9351,15.4353,8.4397,1552.9256,26.8216,0.0000,0.0000,0.4666,0.9730
00037.png,2707,00037,1277,14,992,0.835,1.598,"(0.997,1.000,0.998,0.999)",0.998,0.839,-275.87284480,-1608.28879748,-4.762,-259.37178369,-1589.78773138,-4.834,4.9511,-8.3728,21.4522,10.1283,9.7271,1602.9746,23.7229,0.0000,0.0000,0.4493,0.9773
00038.png,2540,00038,1131,15,869,0.824,1.540,"(0.990,1.000,0.995,0.999)",0.993,0.837,-273.50946284,-1649.17872045,-5.301,-265.40803369,-1638.13992639,-5.275,15.1704,-4.2039,23.2718,6.8349,15.7421,1654.9056,24.2547,0.0000,0.0000,0.4817,0.9691
00039.png,2487,00037,805,15,522,0.849,1.611,"(1.000,0.999,0.996,0.999)",0.997,0.843,-300.75711411,-1711.79360668,-5.092,-276.43646669,-1691.04241615,-5.154,-4.1444,-21.8858,20.1762,-1.1346,22.2748,1704.0843,20.2081,0.0000,0.0000,0.4627,0.8145
00040.png,2585,00035,153,15,79,0.680,1.478,"(0.993,1.000,0.979,1.000)",0.985,0.832,-294.38679711,-1791.25756248,-4.525,-283.71809281,-1751.49990535,-4.597,9.9963,-56.5170,20.6650,-16.7593,57.3942,1758.9792,26.6067,0.0000,0.0000,0.5388,0.3999
00041.png,2921,00041,1217,14,839,0.822,1.698,"(0.985,1.000,0.989,0.999)",0.989,0.821,-300.96889326,-1791.51428901,-4.189,-290.19960417,-1796.72657984,-4.253,11.1550,-12.1869,21.9242,-17.3992,16.5213,1821.3509,27.9893,0.0000,0.0000,0.4738,0.9521
00042.png,3183,00042,1435,15,1000,0.836,1.600,"(0.991,1.000,0.991,0.999)",0.993,0.837,-314.30015160,-1836.70781116,-4.882,-298.19978274,-1841.77028905,-4.866,5.4768,-13.1855,21.5772,-18.2479,14.2777,1866.8530,28.2589,0.0000,0.0000,0.5704,0.9712
00043.png,3520,00043,1720,15,1245,0.840,1.669,"(0.994,1.000,0.994,0.999)",0.995,0.834,-325.40398286,-1878.66732832,-4.947,-307.15175232,-1885.85860809,-4.981,1.8863,-11.3998,20.1385,-18.5910,11.5548,1912.4858,27.4078,0.0000,0.0000,0.6113,0.9427
00044.png,3872,00044,1946,15,1440,0.849,1.611,"(0.994,1.000,0.995,0.999)",0.995,0.842,-324.42301474,-1918.10991807,-4.257,-314.02220662,-1928.34229619,-4.344,10.2068,-7.4444,20.6076,-17.6768,12.6332,1957.2210,27.1504,0.0000,0.0000,0.6486,0.9632
00045.png,4230,00045,2243,15,1701,0.842,1.632,"(0.999,1.000,0.999,0.999)",0.999,0.839,-345.50500662,-1957.95762453,-4.443,-323.55980992,-1969.97362981,-4.483,-3.6149,-4.0045,18.3303,-16.0205,5.3947,1999.8380,24.3445,0.0000,0.0000,0.6794,0.9829
00046.png,4340,00046,2269,15,1749,0.839,1.597,"(0.998,1.000,0.999,0.999)",0.999,0.841,-345.27569428,-2002.65819549,-4.126,-331.02414266,-2012.11176595,-4.189,3.6714,-5.4641,17.9230,-14.9176,6.5830,2042.0623,23.3188,0.0000,0.0000,0.6784,0.9744
00047.png,4245,00047,2138,15,1682,0.850,1.551,"(0.987,1.000,0.994,0.999)",0.990,0.845,-339.35588581,-2046.94592156,-4.533,-335.42160952,-2054.52278475,-4.514,16.4680,-6.4652,20.4023,-14.0421,17.6917,2084.5022,24.7676,0.0000,0.0000,0.6609,0.9699
00048.png,4218,00048,2119,15,1624,0.855,1.582,"(0.995,1.000,0.996,0.999)",0.996,0.847,-356.05482415,-2089.98141160,-5.656,-342.76615422,-2096.94471993,-5.589,6.7914,-6.2119,20.0801,-13.1752,9.2039,2126.7983,24.0166,0.0000,0.0000,0.6288,0.9783
00049.png,4157,00049,2096,15,1600,0.842,1.649,"(0.997,1.000,0.998,0.999)",0.997,0.837,-366.65176432,-2131.56930588,-5.461,-351.23879678,-2139.02083546,-5.505,3.3722,-4.5332,18.7852,-11.9848,5.6500,2169.6696,22.2827,0.0000,0.0000,0.6187,0.9776
00050.png,4090,00050,2103,15,1586,0.833,1.644,"(0.993,1.000,0.997,0.999)",0.995,0.833,-368.62719026,-2170.80003516,-3.907,-358.13717131,-2180.14759100,-4.075,8.6480,-0.5186,19.1380,-9.8661,8.6635,2212.3169,21.5315,0.0000,0.0000,0.6302,0.9717
00051.png,4125,00051,2090,15,1532,0.833,1.672,"(0.997,1.000,0.998,0.999)",0.998,0.832,-381.30249662,-2214.89595224,-5.452,-365.53902431,-2221.93363739,-5.363,3.1970,-1.0819,18.9605,-8.1196,3.3751,2253.6084,20.6259,0.0000,0.0000,0.6150,0.9718
00052.png,4077,00052,2088,15,1574,0.838,1.609,"(0.999,1.000,0.999,0.999)",0.999,0.840,-393.13368577,-2258.99918731,-5.328,-374.72371970,-2264.11465492,-5.372,-1.4359,-1.5902,16.9740,-6.7057,2.1426,2295.8990,18.2506,0.0000,0.0000,0.6258,0.9705
00053.png,4112,00053,2098,15,1575,0.836,1.686,"(1.000,1.000,1.000,0.999)",0.999,0.832,-400.59236009,-2300.47403502,-4.366,-383.35029801,-2306.04077715,-4.493,-1.8490,0.6190,15.3931,-4.9478,1.9498,2338.8691,16.1687,0.0000,0.0000,0.6313,0.9744
00054.png,3987,00054,1977,15,1447,0.843,1.662,"(0.999,1.000,0.999,0.999)",0.999,0.837,-402.21355886,-2343.36442481,-3.107,-389.99351959,-2348.09794453,-3.256,3.4010,1.4972,15.6210,-3.2364,3.7160,2381.4314,15.9528,0.0000,0.0000,0.5994,0.9735
00055.png,3721,00055,1812,15,1376,0.849,1.638,"(1.000,1.000,1.000,0.999)",0.999,0.841,-412.41245759,-2386.81237074,-3.591,-396.80341375,-2390.48097713,-3.595,-0.1556,2.0015,15.4534,-1.6671,2.0075,2423.7739,15.5431,0.0000,0.0000,0.5646,0.9732
00056.png,3518,00056,1562,15,1165,0.835,1.679,"(0.996,1.000,0.998,0.999)",0.997,0.832,-430.02611780,-2428.74242284,-3.779,-405.91400446,-2432.74756707,-3.812,-11.4427,4.1094,12.6694,0.1043,12.1583,2466.6285,12.6698,0.0000,0.0000,0.5341,0.9680
00057.png,3083,00057,1390,15,972,0.825,1.656,"(0.995,1.000,0.998,0.999)",0.996,0.829,-414.36514111,-2475.88094385,-1.774,-409.86190128,-2476.16456535,-1.971,10.1011,1.0267,14.6044,0.7431,10.1532,2509.7442,14.6233,0.0000,0.0000,0.4791,0.9699
00058.png,3035,00058,1401,15,943,0.796,1.689,"(0.999,1.000,0.999,0.999)",0.999,0.816,-426.41062628,-2516.67138196,-2.553,-414.40856134,-2518.96941514,-2.524,4.0106,4.4769,16.0127,2.1788,6.0106,2553.0718,16.1602,0.0000,0.0000,0.4634,0.9752
00059.png,2984,00059,1358,15,940,0.824,1.663,"(0.987,1.000,0.995,0.999)",0.990,0.826,-421.53207590,-2560.36903169,-2.335,-417.39935808,-2561.89394226,-2.363,15.0271,5.0087,19.1598,3.4838,15.8398,2596.0451,19.4739,0.0000,0.0000,0.4774,0.9570
00060.png,2989,00060,1420,15,990,0.809,1.725,"(0.990,1.000,0.996,0.999)",0.993,0.816,-431.07449892,-2606.84437137,-2.055,-421.60279893,-2605.77566406,-2.107,11.8027,2.8062,21.2744,3.8749,12.1317,2638.8327,21.6244,0.0000,0.0000,0.4687,0.9691
00061.png,3309,00061,1583,15,1157,0.822,1.701,"(0.998,1.000,0.999,0.999)",0.998,0.825,-445.99023073,-2648.64684335,-3.660,-428.10740009,-2649.17200509,-3.558,3.2276,5.3701,21.1104,4.8450,6.2654,2682.8607,21.6593,0.0000,0.0000,0.5188,0.9703
00062.png,3628,00062,1746,15,1211,0.811,1.674,"(0.991,1.000,0.996,0.999)",0.993,0.821,-443.74614030,-2697.12971571,-4.195,-433.55288892,-2693.89937326,-4.158,11.7975,1.3427,21.9908,4.5730,11.8737,2726.8722,22.4612,0.0000,0.0000,0.5253,0.9727
00063.png,3956,00063,1901,15,1437,0.825,1.692,"(0.963,1.000,0.985,0.998)",0.972,0.817,-434.70633009,-2740.98570011,-3.867,-436.30172895,-2738.41213609,-3.893,27.3263,1.9956,25.7309,4.5691,27.3991,2772.0820,26.1335,0.0000,0.0000,0.5766,0.9553
00064.png,4158,00064,1948,15,1465,0.839,1.680,"(0.957,1.000,0.982,0.998)",0.967,0.821,-438.56299785,-2789.32248968,-4.322,-439.17629739,-2784.07170312,-4.281,30.4454,-1.7400,29.8321,3.5108,30.4950,2816.5505,30.0380,0.0000,0.0000,0.5993,0.9514
00065.png,4056,00065,2106,15,1558,0.846,1.658,"(0.992,1.000,0.997,0.999)",0.994,0.837,-465.83073045,-2830.38515555,-5.080,-447.66305445,-2828.72320794,-5.052,10.7997,1.8276,28.9674,3.4895,10.9532,2862.3266,29.1768,0.0000,0.0000,0.5972,0.9729
00066.png,4040,00066,2064,15,1573,0.844,1.639,"(0.995,1.000,0.998,0.999)",0.996,0.838,-476.62286348,-2877.07714744,-5.853,-457.10058014,-2874.01487926,-5.824,7.8140,-0.1863,27.3363,2.8759,7.8162,2907.9122,27.4872,0.0000,0.0000,0.5875,0.9703
00067.png,4019,00067,2012,15,1559,0.832,1.667,"(0.992,1.000,0.997,0.999)",0.994,0.830,-482.83996946,-2922.84554439,-5.981,-466.12546516,-2919.48026952,-6.003,9.4252,-1.2110,26.1397,2.1543,9.5027,2954.3364,26.2284,0.0000,0.0000,0.5850,0.9772
00068.png,3999,00068,2062,15,1571,0.835,1.631,"(0.995,1.000,0.998,0.999)",0.996,0.835,-491.49589999,-2965.30974445,-5.692,-475.23354237,-2964.25351436,-5.755,8.7135,1.0508,24.9758,2.1070,8.7766,3000.8426,25.0646,0.0000,0.0000,0.5854,0.9766
00069.png,4110,00069,1925,15,1475,0.846,1.576,"(0.962,1.000,0.984,0.998)",0.972,0.835,-481.49281636,-3011.74070499,-5.235,-480.07606319,-3009.47167447,-5.286,26.8289,-0.6498,28.2456,1.6193,26.8367,3046.5777,28.2920,0.0000,0.0000,0.5881,0.9543
00070.png,3950,00070,1765,15,1365,0.841,1.549,"(0.930,0.999,0.969,0.998)",0.948,0.825,-478.83963054,-3058.04891571,-6.143,-483.14360655,-3055.00697693,-6.056,38.0133,-2.1820,33.7093,0.8600,38.0758,3092.0668,33.7202,0.0000,0.0000,0.5970,0.9335
00071.png,3765,00071,1603,15,1230,0.843,1.542,"(0.923,0.999,0.963,0.998)",0.942,0.824,-487.42355092,-3106.00691704,-8.672,-487.95530871,-3101.25192145,-8.429,38.6641,-5.3572,38.1324,-0.6022,39.0335,3137.6573,38.1371,0.0000,0.0000,0.5513,0.9327
00072.png,4078,00072,1706,15,1313,0.828,1.591,"(0.895,0.999,0.949,0.996)",0.921,0.806,-489.61715711,-3149.73481668,-9.352,-493.63863572,-3146.69607716,-9.252,46.6801,-4.4950,42.6586,-1.4563,46.8960,3184.3215,42.6835,0.0000,0.0000,0.5891,0.9329
00073.png,4150,00073,1675,15,1273,0.832,1.553,"(0.810,0.996,0.900,0.990)",0.855,0.784,-481.37424562,-3198.71424661,-10.719,-497.31194534,-3192.85623009,-10.520,66.1753,-8.9733,50.2376,-3.1153,66.7809,3230.1899,50.3341,0.0000,0.0000,0.5717,0.9128
00074.png,3815,00074,1512,16,1191,0.838,1.609,"(0.726,0.992,0.836,0.981)",0.789,0.756,-480.83711867,-3253.63283304,-13.907,-501.44931345,-3240.86733797,-13.437,79.3866,-19.5545,58.7745,-6.7890,81.7595,3276.4738,59.1653,0.0000,0.0000,0.5674,0.9127
00075.png,3639,00075,1230,16,954,0.857,1.509,"(0.611,0.985,0.736,0.958)",0.696,0.734,-476.79247313,-3307.67106081,-17.161,-506.25725025,-3289.89344651,-16.580,98.0390,-29.8019,68.5742,-12.0242,102.4685,3324.7260,69.6204,0.0000,0.0000,0.5558,0.8951
00076.png,3376,00080,228,16,129,0.796,1.496,"(0.624,0.998,0.735,0.969)",0.707,0.715,-481.07055077,-3323.32044958,-20.511,-512.85437686,-3331.01702787,-19.878,110.7110,-2.4318,78.9271,-10.1284,110.7377,3374.0156,79.5744,0.0000,0.0000,0.5103,0.4428
00077.png,3071,00081,245,17,125,0.866,1.236,"(0.742,0.992,0.834,0.981)",0.800,0.803,-516.67898835,-3361.95314538,-25.641,-525.91329461,-3370.01026417,-25.060,94.4268,1.0599,85.1925,-6.9972,94.4328,3414.8417,85.4794,0.0000,0.0000,0.5366,0.4321
00078.png,3019,00077,1061,17,672,0.830,1.694,"(0.793,0.997,0.865,0.993)",0.841,0.766,-573.44210468,-3437.18271754,-28.707,-551.32368579,-3417.76345826,-28.311,58.8713,-32.8434,80.9897,-13.4242,67.4130,3454.0486,82.0947,0.0000,0.0000,1.4819,0.9638
00079.png,2981,00079,1116,17,761,0.823,1.677,"(0.812,0.999,0.876,0.992)",0.855,0.770,-602.31942977,-3469.76100100,-30.951,-579.49169304,-3461.49158722,-30.700,52.8517,-24.8391,75.6794,-16.5697,58.3976,3505.2942,77.4721,0.0000,0.0000,1.1068,0.9237
00080.png,2829,00080,1087,18,778,0.833,1.621,"(0.806,0.999,0.870,0.992)",0.850,0.777,-629.18564435,-3514.57632158,-32.621,-609.07934455,-3505.18925549,-32.446,50.2736,-29.7542,70.3799,-20.3671,58.4187,3552.9510,73.2677,0.0000,0.0000,1.1823,0.9491
00081.png,2964,00081,1092,18,766,0.831,1.587,"(0.771,1.000,0.843,0.991)",0.823,0.768,-657.89263117,-3563.40273909,-34.153,-639.68584443,-3549.84341109,-33.982,47.1426,-39.4852,65.3494,-25.9259,61.4939,3601.1191,70.3043,0.0000,0.0000,1.2134,0.9613
00082.png,2899,00082,1083,19,704,0.832,1.599,"(0.762,1.000,0.831,0.989)",0.815,0.764,-690.47879240,-3613.93992240,-36.239,-672.04405929,-3595.79225898,-35.994,41.3742,-51.9979,59.8089,-33.8502,66.4500,3650.6692,68.7237,0.0000,0.0000,1.2305,0.9529
00083.png,2726,00083,1000,19,669,0.822,1.667,"(0.757,0.999,0.822,0.989)",0.811,0.753,-726.92395822,-3655.46466651,-38.418,-706.57689325,-3640.32171149,-38.149,32.8248,-56.8606,53.1719,-41.7177,65.6552,3701.8908,67.5841,0.0000,0.0000,1.3327,0.9941
00084.png,2592,00080,191,19,72,0.549,1.802,"(0.926,0.987,0.952,1.000)",0.942,0.746,-766.81665487,-3714.46921859,-41.303,-744.14701151,-3687.81475608,-40.917,21.7730,-80.6381,44.4427,-53.9837,83.5259,3752.1176,69.9242,0.0000,0.0000,1.2026,0.4818
00085.png,2444,00084,861,19,472,0.787,1.760,"(0.805,1.000,0.865,0.994)",0.849,0.747,-789.14551056,-3721.69196709,-42.175,-779.66184432,-3725.06635394,-42.055,29.2112,-53.9763,38.6949,-57.3507,61.3738,3806.0224,69.1838,0.0000,0.0000,1.2602,0.9571
00086.png,2146,00086,772,19,410,0.747,1.581,"(0.815,0.999,0.875,0.996)",0.858,0.749,-820.41013803,-3740.70847134,-43.766,-814.56274690,-3757.38772456,-43.613,28.6029,-40.2115,34.4503,-56.8907,49.3467,3849.4216,66.5085,0.0000,0.0000,1.3837,0.9201
00087.png,2013,00083,229,19,83,0.646,1.599,"(0.927,0.999,0.928,0.983)",0.940,0.740,-873.34299059,-3805.30568840,-45.692,-854.73241831,-3796.78158261,-45.457,7.0915,-72.8812,25.7021,-64.3571,73.2254,3887.5155,69.2995,0.0000,0.0000,1.0752,0.5676
00088.png,1690,00090,436,19,139,0.703,1.367,"(0.898,0.997,0.932,0.998)",0.921,0.775,-882.32983158,-3783.21338928,-48.663,-887.77557617,-3819.46284150,-48.390,30.3815,-19.7563,24.9358,-56.0058,36.2402,3934.5037,61.3061,0.0000,0.0000,0.9994,0.8373
00089.png,1550,00091,317,20,79,0.585,1.966,"(0.946,0.987,0.953,0.997)",0.956,0.771,-909.60416587,-3812.05041784,-50.570,-920.33685174,-3842.02170352,-50.371,36.1152,-18.3579,25.3825,-48.3292,40.5132,3961.8130,54.5892,0.0000,0.0000,0.9411,0.7745
00090.png,1304,00090,366,20,185,0.766,1.706,"(0.840,1.000,0.892,0.997)",0.877,0.754,-961.56843264,-3855.81647742,-51.384,-958.19303778,-3869.07291848,-51.302,17.8003,-32.6098,21.1757,-45.8662,37.1517,3989.6171,50.5185,0.0000,0.0000,1.0227,0.8455
00091.png,1085,00090,177,20,75,0.628,1.876,"(0.921,0.991,0.923,0.999)",0.936,0.782,-1002.45786888,-3892.81578666,-50.562,-997.27953840,-3897.89452666,-50.668,11.2094,-40.9421,16.3878,-46.0208,42.4489,4024.4256,48.8516,0.0000,0.0000,1.0179,0.7540
00092.png,843,00092,194,20,100,0.678,1.724,"(0.942,0.996,0.946,0.990)",0.952,0.747,-1044.48710118,-3902.62846526,-53.966,-1036.31653460,-3922.88644839,-53.618,4.1696,-22.9271,12.3402,-43.1851,23.3032,4062.4634,44.9136,0.0000,0.0000,0.9955,0.4632
